,index,pol,mean_sigma0,std_sigma0,mean_sigma0_dB,std_sigma0_dB
0,0,VV,0.03972919034080556,0.020161986638208312,,
1,0,VH,0.0006506178845071205,0.0017614008022297937,,
2,42572,VV,0.04543232599464534,0.0235884174001338,,
3,42572,VH,0.0005459717411434664,0.002498768923411549,,
4,1,VV,0.014337864902144979,0.008608327463563449,,
5,1,VH,0.00013751170412514504,0.0015558917521434155,,
6,42574,VV,0.0005246071691106058,0.0022806847209396602,,
7,42574,VH,0.00014777083333316693,0.0023152566752438104,,
8,2,VV,0.029562144177329268,0.015374054511166114,,
9,2,VH,0.0002767271824011581,0.0016318296562769234,,
10,42576,VV,0.0013756542029194506,0.002666539880757038,,
11,42576,VH,0.00019327179170147718,0.0023915609313043297,,
12,3,VV,0.016464446071739122,0.009913231270646403,,
13,3,VH,0.00017841036925643925,0.001530774877159955,,
14,42578,VV,0.0019257293590367803,0.00300914001373096,,
15,42578,VH,0.00018159933712906255,0.002299039503305518,,
16,4,VV,0.0004507450082342866,0.0024588374101344244,,
17,4,VH,0.00010079430105695452,0.001530423932058054,,
18,42580,VV,0.022881883522068113,0.013965741272121177,,
19,42580,VH,0.0002780628321545862,0.002358683978686448,,
20,5,VV,0.02285335650117597,0.013331583286752172,,
21,5,VH,0.00042110018965645714,0.0017013270999608372,,
22,42583,VV,0.04272629114204207,0.024660327165035332,,
23,42583,VH,0.00042617158316250405,0.002498724116144383,,
24,6,VV,0.01210690776111991,0.007852839155385828,,
25,6,VH,0.0001340579138991895,0.001553669020728399,,
26,42585,VV,0.025201182083543786,0.01471507538146984,,
27,42585,VH,0.0002523494644029671,0.002387835221150508,,
28,7,VV,0.0268994778184224,0.01438608487229855,,
29,7,VH,0.00031625767017727925,0.0016882662768115402,,
30,42587,VV,0.03551962914257454,0.018805321068316935,,
31,42587,VH,0.0003825367983803332,0.002488168715871508,,
32,8,VV,0.015858243886244298,0.008855666705816468,,
33,8,VH,0.00027381246638292226,0.0015722801187300541,,
34,42589,VV,0.03505269514662422,0.018749255402642367,,
